% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
15.801	1	1	4	11046.6	0
15.841	1	1	4	9437.99	0
15.881	1	1	4	5010.02	0
15.921	1	1	4	910.152	0
15.961	1	1	4	399.633	0
16.001	1	1	4	4143.21	0
16.041	1	1	4	6285.47	0
16.081	1	1	4	6486.7	0
16.121	1	1	4	4164.04	0
16.161	1	1	4	4697.53	0
16.201	2	1	4	41664.4	0
16.241	2	1	4	40967.1	0
16.281	2	1	4	29623.7	0
16.321	2	1	4	16728.7	0
16.361	2	1	4	7515.31	0
16.401	2	1	4	2545.04	0
16.441	2	1	4	1181.98	0
16.481	2	1	4	2370.71	0
16.521	2	1	4	9292.86	0
16.561	2	1	4	8076.67	0
16.601	2	1	4	6122.91	0
16.641	2	1	4	4831.74	0
16.681	2	1	4	4624.34	0
16.721	2	1	4	5565.99	0
16.761	2	1	4	7660.25	0
16.801	2	1	4	10087.9	0
16.841	2	1	4	10052	0
16.881	2	1	4	6907.96	0
16.921	2	1	4	3951.02	0
16.961	2	1	4	2372.83	0
17.001	2	1	4	6361.25	0
17.041	2	1	4	6118.24	0
17.081	2	1	4	3943.82	0
17.121	2	1	4	7405.03	0
17.161	2	1	4	12309.7	0
17.201	2	1	4	13813	0
17.241	2	1	4	11158	0
17.281	2	1	4	6418.13	0
17.321	2	1	4	4992.21	0
17.361	2	1	4	7971.62	0
17.401	2	1	4	13188.7	0
17.441	2	1	4	13841.9	0
17.481	2	1	4	9707.01	0
17.521	2	1	4	4029.9	0
17.561	2	1	4	8317.15	0
17.601	2	1	4	27338	0
17.641	2	1	4	47101.8	0
17.681	2	1	4	17186.1	0
17.721	2	1	4	8073.96	0
17.761	2	1	4	7017.98	0
17.801	2	1	4	11865.1	0
17.841	2	1	4	38132.2	0
17.881	2	1	4	97638	0
17.921	2	1	4	41868.3	0
17.961	2	1	4	10886.8	0
18.001	2	1	4	380.32	0
18.041	2	1	4	900.463	0
18.081	2	1	4	1878.3	0
18.121	2	1	4	4570.46	0
18.161	2	1	4	3487.45	0
18.201	2	1	4	1437.56	0
18.241	2	1	4	310.172	0
18.281	2	1	4	199.399	0
18.321	2	1	4	488.794	0
18.361	2	1	4	888.488	0
18.401	2	1	4	1721.33	0
18.441	2	1	4	4359.19	0
18.481	2	1	4	8949.91	0
18.521	2	1	4	2343.74	0
18.561	2	1	4	3096.87	0
18.601	2	1	4	4302.6	0
18.641	2	1	4	6042.19	0
18.681	1	1	5	272.136	0
18.721	1	1	5	475.409	0
18.761	1	1	5	750.492	0
18.801	1	1	5	1164.58	0
18.841	1	1	5	2395.29	0
18.881	1	1	5	4438.53	0
18.921	1	1	5	5368.39	0
18.961	1	1	5	6216.94	0
19.001	1	1	5	1904.9	0
19.041	1	1	5	2551.54	0
19.081	1	1	5	3525.57	0
19.121	1	1	5	3153.11	0
19.161	1	1	5	4147.43	0
19.201	1	1	5	3875.12	0
19.241	1	1	5	4519.57	0
19.281	1	1	5	5626.07	0
19.321	1	1	5	7032.55	0
19.361	2	1	5	258.884	0
19.401	2	1	5	233.593	0
19.441	2	1	5	433.624	0
19.481	2	1	5	699.992	0
19.521	2	1	5	11084.8	0
19.561	2	1	5	7122.67	0
19.601	2	1	5	5274.27	0
19.641	2	1	5	3891.66	0
19.681	2	1	5	2300.24	0
19.721	2	1	5	629.732	0
19.761	2	1	5	779.738	0
19.801	2	1	5	3533.79	0
19.841	2	1	5	7740.9	0
19.881	2	1	5	15049.5	0
19.921	2	1	5	14782.2	0
19.961	2	1	5	6762.69	0
20.001	2	1	5	15444.9	0
20.041	2	1	5	60296	0
20.081	2	1	5	91339.9	0
20.121	2	1	5	97572.5	0
20.161	2	1	5	51442.3	0
20.201	2	1	5	13002.7	0
20.241	2	1	5	3126.97	0
20.281	2	1	5	1655.77	0
20.321	2	1	5	4351.81	0
20.361	2	1	5	10755.2	0
20.401	2	1	5	10682.4	0
20.441	2	1	5	3694.57	0
20.481	2	1	5	924.803	0
20.521	2	1	5	8878.89	0
20.561	2	1	5	5489.68	0
20.601	2	1	5	3209.04	0
20.641	2	1	5	1644.89	0
20.681	2	1	5	767.236	0
20.721	2	1	5	1411.91	0
20.761	2	1	5	7027.24	0
20.801	2	1	5	23590.5	0
20.841	2	1	5	36041.6	0
20.881	2	1	5	34621.7	0
20.921	2	1	5	34169.6	0
20.961	2	1	5	19198.8	0
21.001	2	1	5	4575.65	0
21.041	2	1	5	1711.98	0
21.081	2	1	5	4646.6	0
21.121	2	1	5	17223.8	0
21.161	2	1	5	15852.7	0
21.201	2	1	5	8216.71	0
21.241	2	1	5	866.83	0
21.281	2	1	5	472.859	0
21.321	2	1	5	1350.17	0
21.361	2	1	5	2833.9	0
21.401	2	1	5	4906.48	0
21.441	2	1	5	7458.39	0
21.481	2	1	5	8797.6	0
21.521	2	1	5	583.337	0
21.561	2	1	5	1951.54	0
21.601	2	1	5	5481.54	0
21.641	2	1	5	1079.33	0
21.681	2	1	5	456.713	0
21.721	2	1	5	363.223	0
21.761	2	1	5	386.685	0
21.801	2	1	5	507.045	0
21.841	2	1	5	817.253	0
21.881	2	1	5	1631.04	0
21.921	2	1	5	3487.34	0
21.961	2	1	5	3921.84	0
22.001	2	1	5	2891.45	0
22.041	2	1	5	2912.65	0
22.081	2	1	5	3467.63	0
22.121	2	1	5	4460.32	0
22.161	2	1	5	5967.79	0
22.201	2	1	5	7972.09	0
22.241	2	1	5	10187.8	0
22.281	2	1	5	12195.6	0
22.321	2	1	5	12323.2	0
22.361	2	1	5	6757.6	0
22.401	2	1	5	2321.5	0
22.441	2	1	5	1047.82	0
22.481	2	1	5	759.737	0
22.521	2	1	5	5495.86	0
22.561	2	1	5	8562.49	0
22.601	2	1	5	9066.96	0
22.641	2	1	5	6917.58	0
22.681	2	1	5	4013.14	0
22.721	2	1	5	1774.14	0
22.761	2	1	5	567.729	0
22.801	2	1	5	288.287	0
22.841	2	1	5	676.594	0
22.881	2	1	5	1396.76	0
22.921	2	1	5	2111.79	0
22.961	2	1	5	2835.66	0
23.001	2	1	5	16872.9	0
23.041	2	1	5	46046.2	0
23.081	2	1	5	58451	0
23.121	2	1	5	25271.5	0
23.161	2	1	5	10440.4	0
23.201	2	1	5	4525.06	0
23.241	2	1	5	2142.89	0
23.281	2	1	5	1721.2	0
23.321	2	1	5	2568.51	0
23.361	2	1	5	2820.8	0
23.401	2	1	5	2090.76	0
23.441	2	1	5	1336.78	0
23.481	2	1	5	811.078	0
23.521	2	1	5	5612.77	0
23.561	2	1	5	6031.04	0
23.601	2	1	5	5255.29	0
23.641	2	1	5	3475.96	0
23.681	2	1	5	1623.06	0
23.721	2	1	5	1900.04	0
23.761	2	1	5	5915.82	0
23.801	2	1	5	11305.6	0
23.841	2	1	5	12849.4	0
23.881	2	1	5	8348.26	0
23.921	2	1	5	2569.06	0
23.961	2	1	5	846.194	0
24.001	2	1	5	2423.12	0
24.041	2	1	5	900.901	0
24.081	2	1	5	1539.57	0
24.121	2	1	5	3131.09	0
24.161	2	1	5	7407.89	0
24.201	2	1	5	17255.4	0
24.241	2	1	5	14662.5	0
24.281	2	1	5	10278.5	0
24.321	2	1	5	12726.6	0
24.361	2	1	5	19604.9	0
24.401	2	1	5	25493.2	0
