% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
30077	2	1	5	0	28	2196	0	1	0
30087	2	1	5	0	28	2196	0	1	0
30097	2	1	5	0	28	2196	0	1	0
30107	2	1	5	0	28	2196	0	1	0
30117	2	1	5	0	28	2196	0	1	0
30127	2	1	5	0	28	2196	0	1	0
30137	2	1	5	0	28	2196	0	1	0
30147	2	1	5	0	28	2196	0	1	0
30157	2	1	5	0	28	2196	0	1	0
30167	2	1	5	0	28	2196	0	1	0
30177	2	1	5	0	28	2196	0	1	0
30187	2	1	5	0	28	2196	0	1	0
30197	2	1	5	0	28	2196	0	1	0
30207	2	1	5	0	28	2196	0	1	0
30209	2	1	5	0	28	2196	0	1	0
30217	2	1	5	0	28	2196	0	1	0
30227	2	1	5	0	28	2196	0	1	0
30237	2	1	5	0	28	2196	0	1	0
30247	2	1	5	0	28	2196	0	1	0
30257	2	1	5	0	28	2196	0	1	0
30267	2	1	5	0	28	2196	0	1	0
30277	2	1	5	0	28	2196	0	1	0
30287	2	1	5	0	28	2196	0	1	0
30297	2	1	5	0	28	2196	0	1	0
30307	2	1	5	0	28	2196	0	1	0
30317	2	1	5	0	28	2196	0	1	0
30327	2	1	5	0	28	2196	0	1	0
30337	2	1	5	0	28	2196	0	1	0
30347	2	1	5	0	28	2196	0	1	0
30357	2	1	5	0	28	2196	0	1	0
30367	2	1	5	0	28	2196	0	1	0
30377	2	1	5	0	28	2196	0	1	0
30387	2	1	5	0	28	2196	0	1	0
30397	2	1	5	0	28	2196	0	1	0
30407	2	1	5	0	28	2196	0	1	0
30417	2	1	5	0	28	2196	0	1	0
30427	2	1	5	0	28	2196	0	1	0
30437	2	1	5	0	28	2196	0	1	0
30447	2	1	5	0	28	2196	0	1	0
30449	2	1	5	0	28	2196	0	1	0
30457	2	1	5	0	28	2196	0	1	0
30467	2	1	5	0	28	2196	0	1	0
30477	2	1	5	0	28	2196	0	1	0
30487	2	1	5	0	28	2196	0	1	0
30497	2	1	5	0	28	2196	0	1	0
30507	2	1	5	0	28	2196	0	1	0
30517	2	1	5	0	28	2196	0	1	0
30527	2	1	5	0	28	2196	0	1	0
30529	2	1	5	0	28	2196	0	1	0
30537	2	1	5	0	28	2196	0	1	0
30547	2	1	5	0	28	2196	0	1	0
30557	2	1	5	0	28	2196	0	1	0
30567	2	1	5	0	28	2196	0	1	0
30577	2	1	5	0	28	2196	0	1	0
30587	2	1	5	0	28	2196	0	1	0
30597	2	1	5	0	28	2196	0	1	0
30607	2	1	5	0	28	2196	0	1	0
30617	2	1	5	0	28	2196	0	1	0
30627	2	1	5	0	28	2196	0	1	0
30637	2	1	5	0	28	2196	0	1	0
30647	2	1	5	0	28	2196	0	1	0
30657	2	1	5	0	28	2196	0	1	0
30667	2	1	5	0	28	2196	0	1	0
30677	2	1	5	0	28	2196	0	1	0
30687	2	1	5	0	28	2196	0	1	0
30689	2	1	5	0	28	2196	0	1	0
30697	2	1	5	0	28	2196	0	1	0
30707	2	1	5	0	28	2196	0	1	0
30717	2	1	5	0	28	2196	0	1	0
30727	2	1	5	0	28	2196	0	1	0
30737	2	1	5	0	28	2196	0	1	0
30747	2	1	5	0	28	2196	0	1	0
30757	2	1	5	0	28	2196	0	1	0
30767	2	1	5	0	28	2196	0	1	0
30777	2	1	5	0	28	2196	0	1	0
30787	2	1	5	0	28	2196	0	1	0
30797	2	1	5	0	28	2196	0	1	0
30807	2	1	5	0	28	2196	0	1	0
30817	2	1	5	0	28	2196	0	1	0
30827	2	1	5	0	28	2196	0	1	0
30837	2	1	5	0	28	2196	0	1	0
30847	2	1	5	0	28	2196	0	1	0
30857	2	1	5	0	28	2196	0	1	0
30867	2	1	5	0	28	2196	0	1	0
30877	2	1	5	0	28	2196	0	1	0
30887	2	1	5	0	28	2196	0	1	0
30897	2	1	5	0	28	2196	0	1	0
30907	2	1	5	0	28	2196	0	1	0
30917	2	1	5	0	28	2196	0	1	0
30927	2	1	5	0	28	2196	0	1	0
30929	2	1	5	0	28	2196	0	1	0
30937	2	1	5	0	28	2196	0	1	0
30947	2	1	5	0	28	2196	0	1	0
30957	2	1	5	0	28	2196	0	1	0
30967	2	1	5	0	28	2196	0	1	0
30977	2	1	5	0	28	2196	0	1	0
30987	2	1	5	0	28	2196	0	1	0
30997	2	1	5	0	28	2196	0	1	0
31007	2	1	5	0	28	2196	0	1	0
31009	2	1	5	0	28	2196	0	1	0
31017	2	1	5	0	28	2196	0	1	0
31027	2	1	5	0	28	2196	0	1	0
31037	2	1	5	0	28	2196	0	1	0
31047	2	1	5	0	28	2196	0	1	0
31057	2	1	5	0	28	2196	0	1	0
31067	2	1	5	0	28	2196	0	1	0
31077	2	1	5	0	28	2196	0	1	0
31087	2	1	5	0	28	2196	0	1	0
31097	2	1	5	0	28	2196	0	1	0
31107	2	1	5	0	28	2196	0	1	0
31117	2	1	5	0	28	2196	0	1	0
31127	2	1	5	0	28	2196	0	1	0
31137	2	1	5	0	28	2196	0	1	0
31147	2	1	5	0	28	2196	0	1	0
31157	2	1	5	0	28	2196	0	1	0
31167	2	1	5	0	28	2196	0	1	0
31169	2	1	5	0	28	2196	0	1	0
31177	2	1	5	0	28	2196	0	1	0
31187	2	1	5	0	28	2196	0	1	0
31197	2	1	5	0	28	2196	0	1	0
31207	2	1	5	0	28	2196	0	1	0
31217	2	1	5	0	28	2196	0	1	0
31227	2	1	5	0	28	2196	0	1	0
31237	2	1	5	0	28	2196	0	1	0
31247	2	1	5	0	28	2196	0	1	0
31257	2	1	5	0	28	2196	0	1	0
31267	2	1	5	0	28	2196	0	1	0
31277	2	1	5	0	28	2196	0	1	0
31287	2	1	5	0	28	2196	0	1	0
31297	2	1	5	0	28	2196	0	1	0
31307	2	1	5	0	28	2196	0	1	0
31317	2	1	5	0	28	2196	0	1	0
31327	2	1	5	0	28	2196	0	1	0
31337	2	1	5	0	28	2196	0	1	0
31347	2	1	5	0	28	2196	0	1	0
31357	2	1	5	0	28	2196	0	1	0
31367	2	1	5	0	28	2196	0	1	0
31377	2	1	5	0	28	2196	0	1	0
31387	2	1	5	0	28	2196	0	1	0
31397	2	1	5	0	28	2196	0	1	0
31407	2	1	5	0	28	2196	0	1	0
31409	2	1	5	0	28	2196	0	1	0
31417	2	1	5	0	28	2196	0	1	0
31427	2	1	5	0	28	2196	0	1	0
31437	2	1	5	0	28	2196	0	1	0
31447	2	1	5	0	28	2196	0	1	0
31457	2	1	5	0	28	2196	0	1	0
31467	2	1	5	0	28	2196	0	1	0
31477	2	1	5	0	28	2196	0	1	0
31487	2	1	5	0	28	2196	0	1	0
31489	2	1	5	0	28	2196	0	1	0
31497	2	1	5	0	28	2196	0	1	0
31507	2	1	5	0	28	2196	0	1	0
31517	2	1	5	0	28	2196	0	1	0
31527	2	1	5	0	28	2196	0	1	0
31537	2	1	5	0	28	2196	0	1	0
31547	2	1	5	0	28	2196	0	1	0
31557	2	1	5	0	28	2196	0	1	0
31567	2	1	5	0	28	2196	0	1	0
31577	2	1	5	0	28	2196	0	1	0
31587	2	1	5	0	28	2196	0	1	0
31597	2	1	5	0	28	2196	0	1	0
31607	2	1	5	0	28	2196	0	1	0
31609	2	1	5	0	28	2196	0	1	0
31617	2	1	5	0	28	2196	0	1	0
31627	2	1	5	0	28	2196	0	1	0
31637	2	1	5	0	28	2196	0	1	0
31647	2	1	5	0	28	2196	0	1	0
31649	2	1	5	0	28	2196	0	1	0
31657	2	1	5	0	28	2196	0	1	0
31667	2	1	5	0	28	2196	0	1	0
31677	2	1	5	0	28	2196	0	1	0
31687	2	1	5	0	28	2196	0	1	0
31697	2	1	5	0	28	2196	0	1	0
31707	2	1	5	0	28	2196	0	1	0
31717	2	1	5	0	28	2196	0	1	0
31727	2	1	5	0	28	2196	0	1	0
31737	2	1	5	0	28	2196	0	1	0
31747	2	1	5	0	28	2196	0	1	0
31757	2	1	5	0	28	2196	0	1	0
31767	2	1	5	0	28	2196	0	1	0
31777	2	1	5	0	28	2196	0	1	0
31787	2	1	5	0	28	2196	0	1	0
31797	2	1	5	0	28	2196	0	1	0
31807	2	1	5	0	28	2196	0	1	0
31817	2	1	5	0	28	2196	0	1	0
31827	2	1	5	0	28	2196	0	1	0
31837	2	1	5	0	28	2196	0	1	0
31847	2	1	5	0	28	2196	0	1	0
31857	2	1	5	0	28	2196	0	1	0
31867	2	1	5	0	28	2196	0	1	0
31877	2	1	5	0	28	2196	0	1	0
31887	2	1	5	0	28	2196	0	1	0
31889	2	1	5	0	28	2196	0	1	0
31897	2	1	5	0	28	2196	0	1	0
31907	2	1	5	0	28	2196	0	1	0
31917	2	1	5	0	28	2196	0	1	0
31927	2	1	5	0	28	2196	0	1	0
31937	2	1	5	0	28	2196	0	1	0
31947	2	1	5	0	28	2196	0	1	0
31957	2	1	5	0	28	2196	0	1	0
31967	2	1	5	0	28	2196	0	1	0
31969	2	1	5	0	28	2196	0	1	0
31977	2	1	5	0	28	2196	0	1	0
31987	2	1	5	0	28	2196	0	1	0
31997	2	1	5	0	28	2196	0	1	0
32007	2	1	5	0	28	2196	0	1	0
32009	2	1	5	0	28	2196	0	1	0
32017	2	1	5	0	28	2196	0	1	0
32027	2	1	5	0	28	2196	0	1	0
32037	2	1	5	0	28	2196	0	1	0
32047	2	1	5	0	28	2196	0	1	0
32057	2	1	5	0	28	2196	0	1	0
32067	2	1	5	0	28	2196	0	1	0
32077	2	1	5	0	28	2196	0	1	0
32087	2	1	5	0	28	2196	0	1	0
32097	2	1	5	0	28	2196	0	1	0
32107	2	1	5	0	28	2196	0	1	0
32117	2	1	5	0	28	2196	0	1	0
32127	2	1	5	0	28	2196	0	1	0
32129	2	1	5	0	28	2196	0	1	0
32137	2	1	5	0	28	2196	0	1	0
32147	2	1	5	0	28	2196	0	1	0
32157	2	1	5	0	28	2196	0	1	0
32167	2	1	5	0	28	2196	0	1	0
32177	2	1	5	0	28	2196	0	1	0
32187	2	1	5	0	28	2196	0	1	0
32197	2	1	5	0	28	2196	0	1	0
32207	2	1	5	0	28	2196	0	1	0
32217	2	1	5	0	28	2196	0	1	0
32227	2	1	5	0	28	2196	0	1	0
32237	2	1	5	0	28	2196	0	1	0
32247	2	1	5	0	28	2196	0	1	0
32257	2	1	5	0	28	2196	0	1	0
32267	2	1	5	0	28	2196	0	1	0
32277	2	1	5	0	28	2196	0	1	0
32287	2	1	5	0	28	2196	0	1	0
32297	2	1	5	0	28	2196	0	1	0
32307	2	1	5	0	28	2196	0	1	0
32317	2	1	5	0	28	2196	0	1	0
32327	2	1	5	0	28	2196	0	1	0
32337	2	1	5	0	28	2196	0	1	0
32347	2	1	5	0	28	2196	0	1	0
32357	2	1	5	0	28	2196	0	1	0
32367	2	1	5	0	28	2196	0	1	0
32369	2	1	5	0	28	2196	0	1	0
32377	2	1	5	0	28	2196	0	1	0
32387	2	1	5	0	28	2196	0	1	0
32397	2	1	5	0	28	2196	0	1	0
32407	2	1	5	0	28	2196	0	1	0
32409	2	1	5	0	28	2196	0	1	0
32417	2	1	5	0	28	2196	0	1	0
32427	2	1	5	0	28	2196	0	1	0
32437	2	1	5	0	28	2196	0	1	0
32447	2	1	5	0	28	2196	0	1	0
32449	2	1	5	0	28	2196	0	1	0
32457	2	1	5	0	28	2196	0	1	0
32467	2	1	5	0	28	2196	0	1	0
32477	2	1	5	0	28	2196	0	1	0
32487	2	1	5	0	28	2196	0	1	0
32489	2	1	5	0	28	2196	0	1	0
32497	2	1	5	0	28	2196	0	1	0
32507	2	1	5	0	28	2196	0	1	0
32517	2	1	5	0	28	2196	0	1	0
32527	2	1	5	0	28	2196	0	1	0
32537	2	1	5	0	28	2196	0	1	0
32547	2	1	5	0	28	2196	0	1	0
32557	2	1	5	0	28	2196	0	1	0
32567	2	1	5	0	28	2196	0	1	0
32577	2	1	5	0	28	2196	0	1	0
32587	2	1	5	0	28	2196	0	1	0
32597	2	1	5	0	28	2196	0	1	0
32607	2	1	5	0	28	2196	0	1	0
32609	2	1	5	0	28	2196	0	1	0
32617	2	1	5	0	28	2196	0	1	0
32627	2	1	5	0	28	2196	0	1	0
32637	2	1	5	0	28	2196	0	1	0
32647	2	1	5	0	28	2196	0	1	0
32657	2	1	5	0	28	2196	0	1	0
32667	2	1	5	0	28	2196	0	1	0
32677	2	1	5	0	28	2196	0	1	0
32687	2	1	5	0	28	2196	0	1	0
32697	2	1	5	0	28	2196	0	1	0
32707	2	1	5	0	28	2196	0	1	0
32717	2	1	5	0	28	2196	0	1	0
32727	2	1	5	0	28	2196	0	1	0
32737	2	1	5	0	28	2196	0	1	0
32747	2	1	5	0	28	2196	0	1	0
32757	2	1	5	0	28	2196	0	1	0
32767	2	1	5	0	28	2196	0	1	0
32777	2	1	5	0	28	2196	0	1	0
32787	2	1	5	0	28	2196	0	1	0
32797	2	1	5	0	28	2196	0	1	0
32807	2	1	5	0	28	2196	0	1	0
32817	2	1	5	0	28	2196	0	1	0
32827	2	1	5	0	28	2196	0	1	0
32837	2	1	5	0	28	2196	0	1	0
32847	2	1	5	0	28	2196	0	1	0
32849	2	1	5	0	28	2196	0	1	0
32857	2	1	5	0	28	2196	0	1	0
32867	2	1	5	0	28	2196	0	1	0
32877	2	1	5	0	28	2196	0	1	0
32887	2	1	5	0	28	2196	0	1	0
32897	2	1	5	0	28	2196	0	1	0
32907	2	1	5	0	28	2196	0	1	0
32917	2	1	5	0	28	2196	0	1	0
32927	2	1	5	0	28	2196	0	1	0
32937	2	1	5	0	28	2196	0	1	0
32947	2	1	5	0	28	2196	0	1	0
32957	2	1	5	0	28	2196	0	1	0
32967	2	1	5	0	28	2196	0	1	0
32969	2	1	5	0	28	2196	0	1	0
32977	2	1	5	0	28	2196	0	1	0
32987	2	1	5	0	28	2196	0	1	0
32997	2	1	5	0	28	2196	0	1	0
33007	2	1	5	0	28	2196	0	1	0
33017	2	1	5	0	28	2196	0	1	0
33027	2	1	5	0	28	2196	0	1	0
33037	2	1	5	0	28	2196	0	1	0
33047	2	1	5	0	28	2196	0	1	0
33057	2	1	5	0	28	2196	0	1	0
33067	2	1	5	0	28	2196	0	1	0
33077	2	1	5	0	28	2196	0	1	0
33087	2	1	5	0	28	2196	0	1	0
33089	2	1	5	0	28	2196	0	1	0
33097	2	1	5	0	28	2196	0	1	0
33107	2	1	5	0	28	2196	0	1	0
33117	2	1	5	0	28	2196	0	1	0
33127	2	1	5	0	28	2196	0	1	0
33137	2	1	5	0	28	2196	0	1	0
33147	2	1	5	0	28	2196	0	1	0
33157	2	1	5	0	28	2196	0	1	0
33167	2	1	5	0	28	2196	0	1	0
33177	2	1	5	0	28	2196	0	1	0
33187	2	1	5	0	28	2196	0	1	0
33197	2	1	5	0	28	2196	0	1	0
33207	2	1	5	0	28	2196	0	1	0
33217	2	1	5	0	28	2196	0	1	0
33227	2	1	5	0	28	2196	0	1	0
33237	2	1	5	0	28	2196	0	1	0
33247	2	1	5	0	28	2196	0	1	0
33257	2	1	5	0	28	2196	0	1	0
33267	2	1	5	0	28	2196	0	1	0
33277	2	1	5	0	28	2196	0	1	0
33287	2	1	5	0	28	2196	0	1	0
33297	2	1	5	0	28	2196	0	1	0
33307	2	1	5	0	28	2196	0	1	0
33317	2	1	5	0	28	2196	0	1	0
33327	2	1	5	0	28	2196	0	1	0
33329	2	1	5	0	28	2196	0	1	0
33337	2	1	5	0	28	2196	0	1	0
33347	2	1	5	0	28	2196	0	1	0
33357	2	1	5	0	28	2196	0	1	0
33367	2	1	5	0	28	2196	0	1	0
33377	2	1	5	0	28	2196	0	1	0
33387	2	1	5	0	28	2196	0	1	0
33397	2	1	5	0	28	2196	0	1	0
33407	2	1	5	0	28	2196	0	1	0
33417	2	1	5	0	28	2196	0	1	0
33427	2	1	5	0	28	2196	0	1	0
33437	2	1	5	0	28	2196	0	1	0
33447	2	1	5	0	28	2196	0	1	0
33449	2	1	5	0	28	2196	0	1	0
33457	2	1	5	0	28	2196	0	1	0
33467	2	1	5	0	28	2196	0	1	0
33477	2	1	5	0	28	2196	0	1	0
33487	2	1	5	0	28	2196	0	1	0
33497	2	1	5	0	28	2196	0	1	0
33507	2	1	5	0	28	2196	0	1	0
33517	2	1	5	0	28	2196	0	1	0
33527	2	1	5	0	28	2196	0	1	0
33537	2	1	5	0	28	2196	0	1	0
33547	2	1	5	0	28	2196	0	1	0
33557	2	1	5	0	28	2196	0	1	0
33567	2	1	5	0	28	2196	0	1	0
33569	2	1	5	0	28	2196	0	1	0
33577	2	1	5	0	28	2196	0	1	0
33587	2	1	5	0	28	2196	0	1	0
33597	2	1	5	0	28	2196	0	1	0
33607	2	1	5	0	28	2196	0	1	0
33617	2	1	5	0	28	2196	0	1	0
33627	2	1	5	0	28	2196	0	1	0
33637	2	1	5	0	28	2196	0	1	0
33647	2	1	5	0	28	2196	0	1	0
33657	2	1	5	0	28	2196	0	1	0
33667	2	1	5	0	28	2196	0	1	0
33677	2	1	5	0	28	2196	0	1	0
33687	2	1	5	0	28	2196	0	1	0
33697	2	1	5	0	28	2196	0	1	0
33707	2	1	5	0	28	2196	0	1	0
33717	2	1	5	0	28	2196	0	1	0
33727	2	1	5	0	28	2196	0	1	0
33737	2	1	5	0	28	2196	0	1	0
33747	2	1	5	0	28	2196	0	1	0
33757	2	1	5	0	28	2196	0	1	0
33767	2	1	5	0	28	2196	0	1	0
33777	2	1	5	0	28	2196	0	1	0
33787	2	1	5	0	28	2196	0	1	0
33797	2	1	5	0	28	2196	0	1	0
33807	2	1	5	0	28	2196	0	1	0
33809	2	1	5	0	28	2196	0	1	0
33817	2	1	5	0	28	2196	0	1	0
33827	2	1	5	0	28	2196	0	1	0
33837	2	1	5	0	28	2196	0	1	0
33847	2	1	5	0	28	2196	0	1	0
33857	2	1	5	0	28	2196	0	1	0
33867	2	1	5	0	28	2196	0	1	0
